Post Date,Value Date,Branch,Journal No.,Description,Debit,Credit,
05/06/18 18.07.56,05/06/18 18.07.56,0767,697223,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301513 KP RAMBUTAN",".00","756,500.00",
05/06/18 18.07.57,05/06/18 18.07.57,0767,697333,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301538 PULO GEBANG",".00","342,000.00",
05/06/18 18.07.57,05/06/18 18.07.57,0767,697335,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301526 KALIMALANG 2",".00","412,000.00",
05/06/18 18.07.57,05/06/18 18.07.57,0767,697341,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301514 PS REBO",".00","2,027,500.00",
05/06/18 18.07.57,05/06/18 18.07.57,0767,697476,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301527 KALIMALANG 1",".00","475,000.00",
05/06/18 18.07.57,05/06/18 18.07.57,0767,697487,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301515 DUKUH 1",".00","1,508,500.00",
05/06/18 18.07.58,05/06/18 18.07.58,0767,697585,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301516 DUKUH 3",".00","1,440,000.00",
05/06/18 18.07.58,05/06/18 18.07.58,0767,697661,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301517 BMB APUS 2",".00","370,500.00",
05/06/18 18.07.58,05/06/18 18.07.58,0767,697766,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301518 BMB APUS 1",".00","408,500.00",
05/06/18 18.07.59,05/06/18 18.07.59,0767,697863,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301519 SETU",".00","180,500.00",
05/06/18 18.08.00,05/06/18 18.08.00,0767,698101,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301530 CAKUNG 1",".00","282,500.00",
05/06/18 18.08.00,05/06/18 18.08.00,0767,698180,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301531 ROROTAN",".00","804,500.00",
05/06/18 18.08.00,05/06/18 18.08.00,0767,698263,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301520 JATIWARNA 2",".00","978,500.00",
05/06/18 18.08.01,05/06/18 18.08.01,0767,698280,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301520 JATIWARNA 2",".00","9,500.00",
05/06/18 18.08.01,05/06/18 18.08.01,0767,698353,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301521 JATIWARNA 1",".00","268,000.00",
05/06/18 18.08.01,05/06/18 18.08.01,0767,698418,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301534 LT AGUNG 3",".00","95,000.00",
05/06/18 18.08.01,05/06/18 18.08.01,0767,698423,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301522 JATIASIH 2",".00","999,500.00",
05/06/18 18.08.01,05/06/18 18.08.01,0767,698427,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301510 LT AGUNG 1",".00","883,500.00",
05/06/18 18.08.01,05/06/18 18.08.01,0767,698435,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301522 JATIASIH 2",".00","76,000.00",
05/06/18 18.08.01,05/06/18 18.08.01,0767,698481,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301523 JATIASIH 1",".00","389,500.00",
05/06/18 18.08.01,05/06/18 18.08.01,0767,698485,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 1 000301511 GEDONG 2",".00","1,311,500.00",
06/06/18 03.59.57,06/06/18 03.59.57,0767,225026,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301512 GEDONG 1",".00","402,500.00",
06/06/18 03.59.57,06/06/18 03.59.57,0767,225052,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301513 KP RAMBUTAN",".00","591,000.00",
06/06/18 03.59.57,06/06/18 03.59.57,0767,225107,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301514 PS REBO",".00","1,599,500.00",
06/06/18 03.59.58,06/06/18 03.59.58,0767,225134,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301515 DUKUH 1",".00","3,029,000.00",
06/06/18 03.59.58,06/06/18 03.59.58,0767,225150,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301516 DUKUH 3",".00","2,432,000.00",
06/06/18 03.59.58,06/06/18 03.59.58,0767,225218,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301534 LT AGUNG 3",".00","560,500.00",
06/06/18 03.59.58,06/06/18 03.59.58,0767,225221,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301510 LT AGUNG 1",".00","1,491,500.00",
06/06/18 03.59.59,06/06/18 03.59.59,0767,225250,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301511 GEDONG 2",".00","593,000.00",
06/06/18 05.59.56,06/06/18 05.59.56,0767,006571,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301524 CIKUNIR 2",".00","2,570,500.00",
06/06/18 05.59.57,06/06/18 05.59.57,0767,006629,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301525 CIKUNIR 4",".00","1,820,000.00",
06/06/18 05.59.58,06/06/18 05.59.58,0767,006735,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301538 PULO GEBANG",".00","344,000.00",
06/06/18 05.59.58,06/06/18 05.59.58,0767,006737,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301526 KALIMALANG 2",".00","313,500.00",
06/06/18 05.59.58,06/06/18 05.59.58,0767,006748,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301530 CAKUNG 1",".00","469,000.00",
06/06/18 05.59.58,06/06/18 05.59.58,0767,006788,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301527 KALIMALANG 1",".00","161,500.00",
06/06/18 05.59.58,06/06/18 05.59.58,0767,006796,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301531 ROROTAN",".00","1,652,000.00",
06/06/18 05.59.58,06/06/18 05.59.58,0767,006828,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301528 BINTARA",".00","612,000.00",
06/06/18 05.59.58,06/06/18 05.59.58,0767,006835,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301520 JATIWARNA 2",".00","579,500.00",
06/06/18 05.59.59,06/06/18 05.59.59,0767,006852,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301529 CAKUNG 2",".00","218,500.00",
06/06/18 05.59.59,06/06/18 05.59.59,0767,006858,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301517 BMB APUS 2",".00","275,500.00",
06/06/18 05.59.59,06/06/18 05.59.59,0767,006864,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301521 JATIWARNA 1",".00","199,500.00",
06/06/18 05.59.59,06/06/18 05.59.59,0767,006918,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301518 BMB APUS 1",".00","619,500.00",
06/06/18 05.59.59,06/06/18 05.59.59,0767,006920,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301522 JATIASIH 2",".00","612,000.00",
06/06/18 06.00.00,06/06/18 06.00.00,0767,006983,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301519 SETU",".00","161,500.00",
06/06/18 06.00.00,06/06/18 06.00.00,0767,006991,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 2 000301523 JATIASIH 1",".00","142,500.00",
06/06/18 08.59.57,06/06/18 08.59.57,0767,752977,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301524 CIKUNIR 2",".00","520,000.00",
06/06/18 08.59.57,06/06/18 08.59.57,0767,753014,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301512 GEDONG 1",".00","171,000.00",
06/06/18 08.59.57,06/06/18 08.59.57,0767,753040,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301522 JATIASIH 2",".00","735,500.00",
06/06/18 08.59.57,06/06/18 08.59.57,0767,753053,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301510 LT AGUNG 1",".00","152,000.00",
06/06/18 08.59.57,06/06/18 08.59.57,0767,753188,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301525 CIKUNIR 4",".00","672,000.00",
06/06/18 08.59.57,06/06/18 08.59.57,0767,753193,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301513 KP RAMBUTAN",".00","85,500.00",
06/06/18 08.59.57,06/06/18 08.59.57,0767,753213,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301523 JATIASIH 1",".00","152,000.00",
06/06/18 08.59.58,06/06/18 08.59.58,0767,753225,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 06062018 3 000301511 GEDONG 2",".00","161,500.00",
06/06/18 08.59.58,06/06/18 08.59.58,0767,753343,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301538 PULO GEBANG",".00","66,500.00",
06/06/18 08.59.58,06/06/18 08.59.58,0767,753357,"TRANSFER DARI | PEMINDAHAN DARI 177634945 DANA SETORAN NEW PREPAID | 0717822235 05062018 3 000301526 KALIMALANG 2",".00","85,500.00",
